route_type,date_type,route_start,time
L,W,A,6:00
L,W,Y,6:40
L,W,A,7:20
L,W,Y,8:00
L,W,A,8:40
L,W,Y,9:20
L,W,A,11:15
L,W,Y,12:00
L,W,A,13:45
L,W,Y,14:20
L,W,A,15:20
L,W,Y,15:55
L,W,A,16:30
L,W,Y,17:05
L,W,A,17:50
L,W,Y,18:35
L,W,A,19:15
L,W,Y,20:00
L,W,A,20:35
L,W,Y,21:10
L,W,A,22:00
L,S,A,7:20
L,S,Y,8:05
L,S,A,8:50
L,S,Y,9:25
L,S,A,10:00
L,S,Y,10:40
L,S,A,11:20
L,S,Y,12:00
L,S,A,12:40
L,S,Y,13:20
L,S,A,15:10
L,S,Y,15:45
L,S,A,16:20
L,S,Y,16:55
L,S,A,17:50
L,S,Y,18:35
L,S,A,19:15
L,S,Y,20:00
L,S,A,20:35
L,S,Y,21:10
L,S,A,22:00
